tier,corner,reference,reference_definition,reference_area_um2,side_function_area_um2,area_saving_percent,reference_power_mw,side_function_power_mw,power_saving_percent,reference_leakage_uw,side_function_leakage_uw,leakage_saving_percent,comparison_valid,notes
64,one_ghz,decomposable_minmax,minmax_m1,109.179598,164.324397,-50.508337,0.437546,0.358971,17.958112,0.043008,0.087128,-102.585565,true,marginal combined-minus-AddSub cost versus same-tier decomposable MinMax
64,one_ghz,fixed_minmax_bank,minmax_fixed_64,103.407600,164.324397,-58.909400,0.259136,0.358971,-38.526102,0.034749,0.087128,-150.735273,true,marginal combined-minus-AddSub cost versus fixed MinMax bank
64_32,one_ghz,decomposable_minmax,minmax_m2,106.915198,184.481997,-72.549834,0.347558,0.420001,-20.843428,0.034859,0.103433,-196.718208,true,marginal combined-minus-AddSub cost versus same-tier decomposable MinMax
64_32,one_ghz,fixed_minmax_bank,minmax_fixed_64 + minmax_fixed_32x2,241.535998,184.481997,23.621324,0.627351,0.420001,33.051673,0.098904,0.103433,-4.579188,true,marginal combined-minus-AddSub cost versus fixed MinMax bank
64_32_16,one_ghz,decomposable_minmax,minmax_m4,120.190798,195.226799,-62.430737,0.431539,0.415002,3.832099,0.046315,0.120599,-160.388643,true,marginal combined-minus-AddSub cost versus same-tier decomposable MinMax
64_32_16,one_ghz,fixed_minmax_bank,minmax_fixed_64 + minmax_fixed_32x2 + minmax_fixed_16x4,337.528797,195.226799,42.159958,0.961559,0.415002,56.840714,0.135828,0.120599,11.211974,true,marginal combined-minus-AddSub cost versus fixed MinMax bank
64,two_ghz,decomposable_minmax,minmax_m1,116.150399,413.097593,-255.657489,0.274050,0.672231,-145.295019,0.047815,0.298967,-525.257764,true,marginal combined-minus-AddSub cost versus same-tier decomposable MinMax
64,two_ghz,fixed_minmax_bank,minmax_fixed_64,130.491600,413.097593,-216.570257,0.292136,0.672231,-130.108922,0.053417,0.298967,-459.685119,true,marginal combined-minus-AddSub cost versus fixed MinMax bank
64_32,two_ghz,decomposable_minmax,minmax_m2,126.362399,461.981992,-265.600840,0.306226,0.759839,-148.130139,0.047843,0.342136,-615.122379,true,marginal combined-minus-AddSub cost versus same-tier decomposable MinMax
64_32,two_ghz,fixed_minmax_bank,minmax_fixed_64 + minmax_fixed_32x2,241.580401,461.981992,-91.233225,0.581434,0.759839,-30.683620,0.093540,0.342136,-265.764379,true,marginal combined-minus-AddSub cost versus fixed MinMax bank
64_32_16,two_ghz,decomposable_minmax,minmax_m4,141.902400,528.981594,-272.778469,0.334106,0.920604,-175.542493,0.059265,0.392065,-561.545600,true,marginal combined-minus-AddSub cost versus same-tier decomposable MinMax
64_32_16,two_ghz,fixed_minmax_bank,minmax_fixed_64 + minmax_fixed_32x2 + minmax_fixed_16x4,341.169601,528.981594,-55.049451,0.840757,0.920604,-9.497037,0.127865,0.392065,-206.624174,true,marginal combined-minus-AddSub cost versus fixed MinMax bank
