name,kind,tier,corner,target_period_ns,achieved_delay_ns,fmax_ghz,cell_area_um2,total_area_um2,dynamic_power_mw,leakage_power_uw,energy_per_operation_pj,timing_met,activity_source
addsub_d1,addsub_decomposable,64,one_ghz,1.000000,0.999697,1.000303092,172.760402,373.510047,0.501969,0.064273,0.501817,true,uniform_synthetic
addsub_d2,addsub_decomposable,64_32,one_ghz,1.000000,0.999279,1.000721520,175.202402,378.782431,0.476733,0.064808,0.476389,true,uniform_synthetic
addsub_d4,addsub_decomposable,64_32_16,one_ghz,1.000000,0.999951,1.000049002,182.972401,382.739052,0.528310,0.069685,0.528284,true,uniform_synthetic
combined_d1,combined,64,one_ghz,1.000000,0.998364,1.001638681,337.084799,698.618621,0.860940,0.151401,0.859531,true,uniform_synthetic
combined_d2,combined,64_32,one_ghz,1.000000,0.999953,1.000047002,359.684399,760.523761,0.896734,0.168241,0.896692,true,uniform_synthetic
combined_d4,combined,64_32_16,one_ghz,1.000000,0.998954,1.001047095,378.199200,764.185105,0.943312,0.190284,0.942326,true,uniform_synthetic
minmax_fixed_16x4,minmax_fixed,16x4,one_ghz,1.000000,0.998712,1.001289661,95.992799,236.623518,0.334208,0.036924,0.333777,true,uniform_synthetic
minmax_fixed_32x2,minmax_fixed,32x2,one_ghz,1.000000,0.999315,1.000685470,138.128398,301.769498,0.368215,0.064155,0.367962,true,uniform_synthetic
minmax_fixed_64,minmax_fixed,64,one_ghz,1.000000,0.999309,1.000691478,103.407600,237.779038,0.259136,0.034749,0.258957,true,uniform_synthetic
minmax_m1,minmax_decomposable,64,one_ghz,1.000000,0.999182,1.000818670,109.179598,262.717242,0.437546,0.043008,0.437188,true,uniform_synthetic
minmax_m2,minmax_decomposable,64_32,one_ghz,1.000000,0.998821,1.001180392,106.915198,264.077736,0.347558,0.034859,0.347148,true,uniform_synthetic
minmax_m4,minmax_decomposable,64_32_16,one_ghz,1.000000,0.999591,1.000409167,120.190798,296.912739,0.431539,0.046315,0.431363,true,uniform_synthetic
addsub_d1,addsub_decomposable,64,two_ghz,0.500000,0.499874,2.000504127,228.216001,462.403819,0.522269,0.103913,0.261069,true,uniform_synthetic
addsub_d2,addsub_decomposable,64_32,two_ghz,0.500000,0.499979,2.000084004,249.261600,468.580026,0.567161,0.122809,0.283568,true,uniform_synthetic
addsub_d4,addsub_decomposable,64_32_16,two_ghz,0.500000,0.499925,2.000300045,276.123599,492.710411,0.636496,0.143084,0.318200,true,uniform_synthetic
combined_d1,combined,64,two_ghz,0.500000,0.499974,2.000104005,641.313594,1032.901893,1.194500,0.402880,0.597219,true,uniform_synthetic
combined_d2,combined,64_32,two_ghz,0.500000,0.499994,2.000024000,711.243592,1143.842091,1.327000,0.464945,0.663492,true,uniform_synthetic
combined_d4,combined,64_32_16,two_ghz,0.500000,0.499985,2.000060002,805.105193,1267.059436,1.557100,0.535149,0.778527,true,uniform_synthetic
minmax_fixed_16x4,minmax_fixed,16x4,two_ghz,0.500000,0.499723,2.001108614,99.589200,229.996865,0.259323,0.034325,0.129590,true,uniform_synthetic
minmax_fixed_32x2,minmax_fixed,32x2,two_ghz,0.500000,0.499239,2.003048640,111.088801,258.318871,0.289298,0.040123,0.144429,true,uniform_synthetic
minmax_fixed_64,minmax_fixed,64,two_ghz,0.500000,0.498328,2.006710440,130.491600,278.557137,0.292136,0.053417,0.145580,true,uniform_synthetic
minmax_m1,minmax_decomposable,64,two_ghz,0.500000,0.498822,2.004723128,116.150399,253.693102,0.274050,0.047815,0.136702,true,uniform_synthetic
minmax_m2,minmax_decomposable,64_32,two_ghz,0.500000,0.499819,2.000724262,126.362399,272.955108,0.306226,0.047843,0.153057,true,uniform_synthetic
minmax_m4,minmax_decomposable,64_32_16,two_ghz,0.500000,0.499787,2.000852363,141.902400,299.616549,0.334106,0.059265,0.166982,true,uniform_synthetic
