tier,corner,baseline,baseline_definition,baseline_area_um2,combined_area_um2,area_saving_percent,baseline_power_mw,combined_power_mw,power_saving_percent,baseline_leakage_uw,combined_leakage_uw,leakage_saving_percent,baseline_energy_pj,combined_energy_pj,energy_saving_percent,baseline_fmax_ghz,combined_fmax_ghz,frequency_change_percent,comparison_valid,notes
64,one_ghz,separate_decomposable,addsub_d1 + minmax_m1,281.940000,337.084799,-19.559055,0.939515,0.860940,8.363358,0.107281,0.151401,-41.125642,0.939230,0.859532,8.485546,1.000303092,1.001638681,0.133518,true,same-tier decomposable AddSub plus decomposable MinMax
64,one_ghz,decomposable_addsub_plus_fixed_minmax_bank,addsub_d1 + minmax_fixed_64,276.168002,337.084799,-22.057877,0.761105,0.860940,-13.117113,0.099022,0.151401,-52.896326,0.760874,0.859532,-12.966282,1.000303092,1.001638681,0.133518,true,packed fixed MinMax components counted once; synthetic all-active bank power
64_32,one_ghz,separate_decomposable,addsub_d2 + minmax_m2,282.117600,359.684399,-27.494491,0.824291,0.896734,-8.788522,0.099667,0.168241,-68.803114,0.823697,0.896692,-8.861899,1.000721520,1.000047002,-0.067403,true,same-tier decomposable AddSub plus decomposable MinMax
64_32,one_ghz,decomposable_addsub_plus_fixed_minmax_bank,addsub_d2 + minmax_fixed_64 + minmax_fixed_32x2,416.738400,359.684399,13.690603,1.104084,0.896734,18.780274,0.163712,0.168241,-2.766444,1.103328,0.896692,18.728420,1.000685470,1.000047002,-0.063803,true,packed fixed MinMax components counted once; synthetic all-active bank power
64_32_16,one_ghz,separate_decomposable,addsub_d4 + minmax_m4,303.163199,378.199200,-24.751026,0.959849,0.943312,1.722875,0.116000,0.190284,-64.037931,0.959802,0.942325,1.820862,1.000049002,1.001047095,0.099804,true,same-tier decomposable AddSub plus decomposable MinMax
64_32_16,one_ghz,decomposable_addsub_plus_fixed_minmax_bank,addsub_d4 + minmax_fixed_64 + minmax_fixed_32x2 + minmax_fixed_16x4,520.501198,378.199200,27.339418,1.489869,0.943312,36.684903,0.205513,0.190284,7.410237,1.489796,0.942325,36.748031,1.000049002,1.001047095,0.099804,true,packed fixed MinMax components counted once; synthetic all-active bank power
64,two_ghz,separate_decomposable,addsub_d1 + minmax_m1,344.366400,641.313594,-86.230014,0.796319,1.194500,-50.002700,0.151728,0.402880,-165.527787,0.398059,0.597219,-50.032708,2.000504127,2.000104005,-0.020001,true,same-tier decomposable AddSub plus decomposable MinMax
64,two_ghz,decomposable_addsub_plus_fixed_minmax_bank,addsub_d1 + minmax_fixed_64,358.707601,641.313594,-78.784501,0.814405,1.194500,-46.671496,0.157330,0.402880,-156.073222,0.407100,0.597219,-46.700838,2.000504127,2.000104005,-0.020001,true,packed fixed MinMax components counted once; synthetic all-active bank power
64_32,two_ghz,separate_decomposable,addsub_d2 + minmax_m2,375.623999,711.243592,-89.349880,0.873387,1.327000,-51.937228,0.170652,0.464945,-172.452125,0.436675,0.663492,-51.941787,2.000084004,2.000024000,-0.003000,true,same-tier decomposable AddSub plus decomposable MinMax
64_32,two_ghz,decomposable_addsub_plus_fixed_minmax_bank,addsub_d2 + minmax_fixed_64 + minmax_fixed_32x2,490.842001,711.243592,-44.902757,1.148595,1.327000,-15.532455,0.216349,0.464945,-114.905084,0.574273,0.663492,-15.535921,2.000084004,2.000024000,-0.003000,true,packed fixed MinMax components counted once; synthetic all-active bank power
64_32_16,two_ghz,separate_decomposable,addsub_d4 + minmax_m4,418.025999,805.105193,-92.596919,0.970602,1.557100,-60.426210,0.202349,0.535149,-164.468320,0.485228,0.778527,-60.445464,2.000300045,2.000060002,-0.012000,true,same-tier decomposable AddSub plus decomposable MinMax
64_32_16,two_ghz,decomposable_addsub_plus_fixed_minmax_bank,addsub_d4 + minmax_fixed_64 + minmax_fixed_32x2 + minmax_fixed_16x4,617.293200,805.105193,-30.425087,1.477253,1.557100,-5.405100,0.270949,0.535149,-97.509125,0.738516,0.778527,-5.417750,2.000300045,2.000060002,-0.012000,true,packed fixed MinMax components counted once; synthetic all-active bank power
