FU,corner,p64,p32,p16,fixed_all_active_mw,fixed_selected_only_estimate_mw,decomposable_uniform_mw,notes
abs_a3,feasible,0.25,0.50,0.25,0.489797,0.165505,0.289833,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
abs_a3,one_ghz,0.25,0.50,0.25,0.602729,0.227673,0.268606,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
abs_a3,two_ghz,0.25,0.50,0.25,0.497540,0.167801,0.301127,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
addsub_d4,feasible,0.25,0.50,0.25,1.763325,0.694206,0.590859,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
addsub_d4,one_ghz,0.25,0.50,0.25,1.708260,0.672210,0.559158,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
addsub_d4,two_ghz,0.25,0.50,0.25,2.011140,0.766935,0.645942,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
barrel_bs3,feasible,0.25,0.50,0.25,3.131044,1.020719,1.581500,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
barrel_bs3,one_ghz,0.25,0.50,0.25,2.995981,0.991427,1.436800,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
barrel_bs3,two_ghz,0.25,0.50,0.25,3.322901,1.071242,1.710900,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
cmp_c4,feasible,0.25,0.50,0.25,0.747820,0.245792,0.328567,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
cmp_c4,one_ghz,0.25,0.50,0.25,0.706240,0.234894,0.305136,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
cmp_c4,two_ghz,0.25,0.50,0.25,0.785833,0.258028,0.356930,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
fp_cmp_g3,feasible,0.25,0.50,0.25,0.813761,0.273210,0.719405,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
fp_cmp_g3,one_ghz,0.25,0.50,0.25,0.731091,0.245919,0.726758,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
fp_cmp_g3,two_ghz,0.25,0.50,0.25,0.877977,0.289533,0.758126,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
fp_minmax_m3,feasible,0.25,0.50,0.25,1.036374,0.350930,0.874528,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
fp_minmax_m3,one_ghz,0.25,0.50,0.25,0.972664,0.324798,0.755852,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
fp_minmax_m3,two_ghz,0.25,0.50,0.25,1.063931,0.358751,0.960188,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
minmax_m4,feasible,0.25,0.50,0.25,0.949941,0.309251,0.310101,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
minmax_m4,one_ghz,0.25,0.50,0.25,0.961559,0.332444,0.431539,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
minmax_m4,two_ghz,0.25,0.50,0.25,0.840757,0.282514,0.334106,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
mult_decomp,feasible,0.25,0.50,0.25,14.181100,4.443625,18.515500,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
mult_decomp,one_ghz,0.25,0.50,0.25,15.361500,4.986100,21.118900,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
mult_decomp,two_ghz,0.25,0.50,0.25,19.773500,6.240975,21.835100,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
rounding_g3,feasible,0.25,0.50,0.25,1.798313,0.596764,1.442400,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
rounding_g3,one_ghz,0.25,0.50,0.25,1.501701,0.519483,1.324400,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
rounding_g3,two_ghz,0.25,0.50,0.25,2.287278,0.762748,1.645500,fixed selected-only is probability-weighted synthetic estimate; decomposable remains uniform synthetic
