FU,capability,implementation,corner,target_period_ns,achieved_delay_ns,fmax_ghz,cell_area_um2,total_area_um2,dynamic_power_mw,leakage_power_uw,energy_per_operation_pj,timing_met,activity_source,fixed_bank_definition
abs_a3,64/32x2/16x4,decomposable,one_ghz,1.000000,0.999996,1.000004000,155.133602,335.438949,0.268606,0.065369,0.268605,true,uniform_synthetic,pending_normalized_fixed_bank
abs_a3,64/32x2/16x4,decomposable,two_ghz,0.500000,0.499909,2.000364066,201.442801,389.521091,0.301127,0.105446,0.150536,true,uniform_synthetic,pending_normalized_fixed_bank
addsub_d4,64/32x2/16x4,decomposable,one_ghz,1.000000,0.999487,1.000513263,188.078401,387.567379,0.559158,0.073745,0.558871,true,uniform_synthetic,pending_normalized_fixed_bank
addsub_d4,64/32x2/16x4,decomposable,two_ghz,0.500000,0.499980,2.000080003,281.984400,497.188686,0.645942,0.151689,0.322958,true,uniform_synthetic,pending_normalized_fixed_bank
barrel_bs3,64/32x2/16x4,decomposable,one_ghz,1.000000,0.999865,1.000135018,404.350797,1081.839766,1.436800,0.162481,1.436606,true,uniform_synthetic,pending_normalized_fixed_bank
barrel_bs3,64/32x2/16x4,decomposable,two_ghz,0.500000,0.499985,2.000060002,762.259194,1430.462484,1.710900,0.417944,0.855424,true,uniform_synthetic,pending_normalized_fixed_bank
cmp_c4,64/32x2/16x4,decomposable,one_ghz,1.000000,0.999158,1.000842710,144.122399,329.674989,0.305136,0.055501,0.304879,true,uniform_synthetic,pending_normalized_fixed_bank
cmp_c4,64/32x2/16x4,decomposable,two_ghz,0.500000,0.499709,2.001164678,222.133198,432.110780,0.356930,0.106841,0.178361,true,uniform_synthetic,pending_normalized_fixed_bank
fp_cmp_g3,FP64/FP32x2/FP16x4,decomposable,one_ghz,1.000000,0.999435,1.000565319,257.741999,636.240615,0.726758,0.112752,0.726347,true,uniform_synthetic,pending_normalized_fixed_bank
fp_cmp_g3,FP64/FP32x2/FP16x4,decomposable,two_ghz,0.500000,0.499982,2.000072003,410.078399,753.517790,0.758126,0.227659,0.379050,true,uniform_synthetic,pending_normalized_fixed_bank
fp_minmax_m3,FP64/FP32x2/FP16x4,decomposable,one_ghz,1.000000,0.999942,1.000058003,304.450800,663.435335,0.755852,0.130502,0.755808,true,uniform_synthetic,pending_normalized_fixed_bank
fp_minmax_m3,FP64/FP32x2/FP16x4,decomposable,two_ghz,0.500000,0.499914,2.000344059,461.404798,830.390990,0.960188,0.264507,0.480012,true,uniform_synthetic,pending_normalized_fixed_bank
minmax_m4,64/32x2/16x4,decomposable,one_ghz,1.000000,0.999591,1.000409167,120.190798,296.912739,0.431539,0.046315,0.431363,true,uniform_synthetic,pending_normalized_fixed_bank
minmax_m4,64/32x2/16x4,decomposable,two_ghz,0.500000,0.499787,2.000852363,141.902400,299.616549,0.334106,0.059265,0.166982,true,uniform_synthetic,pending_normalized_fixed_bank
mult_decomp,64/32x2/16x4,decomposable,one_ghz,1.000000,0.999871,1.000129017,4982.701168,8613.639064,21.118900,3.098700,21.116176,true,uniform_synthetic,pending_normalized_fixed_bank
mult_decomp,64/32x2/16x4,decomposable,two_ghz,0.500000,0.971435,1.029404952,5368.359560,9042.386609,21.835100,3.482700,21.211380,false,uniform_synthetic,pending_normalized_fixed_bank
rounding_g3,FP64/FP32x2/FP16x4,decomposable,one_ghz,1.000000,0.999835,1.000165027,1256.786395,2401.979619,1.324400,0.650348,1.324181,true,uniform_synthetic,pending_normalized_fixed_bank
rounding_g3,FP64/FP32x2/FP16x4,decomposable,two_ghz,0.500000,0.550626,1.816114749,2156.685591,3383.537264,1.645500,1.454600,0.906055,false,uniform_synthetic,pending_normalized_fixed_bank
abs_16x4,16x4,fixed,one_ghz,1.000000,0.999619,1.000381145,69.352801,163.952762,0.096376,0.023192,0.096339,true,uniform_synthetic,fixed_bank_component
abs_16x4,16x4,fixed,two_ghz,0.500000,0.499893,2.000428092,89.155200,184.627289,0.103095,0.033778,0.051536,true,uniform_synthetic,fixed_bank_component
abs_32x2,32x2,fixed,one_ghz,1.000000,0.998921,1.001080165,123.032398,313.831655,0.307964,0.046545,0.307632,true,uniform_synthetic,fixed_bank_component
abs_32x2,32x2,fixed,two_ghz,0.500000,0.499240,2.003044628,132.978001,322.867498,0.173665,0.048467,0.086700,true,uniform_synthetic,fixed_bank_component
abs_64,64,fixed,one_ghz,1.000000,0.999343,1.000657432,137.329202,333.965062,0.198389,0.051982,0.198258,true,uniform_synthetic,fixed_bank_component
abs_64,64,fixed,two_ghz,0.500000,0.499731,2.001076579,174.270001,372.872172,0.220780,0.082706,0.110331,true,uniform_synthetic,fixed_bank_component
addsub_16x4,16x4,fixed,one_ghz,1.000000,0.957530,1.044353702,109.845596,219.886200,0.256774,0.038077,0.245869,true,uniform_synthetic,fixed_bank_component
addsub_16x4,16x4,fixed,two_ghz,0.500000,0.499949,2.000204021,168.231602,348.089328,0.430823,0.065736,0.215389,true,uniform_synthetic,fixed_bank_component
addsub_32x2,32x2,fixed,one_ghz,1.000000,0.999681,1.000319102,264.357603,609.609618,0.980578,0.085225,0.980265,true,uniform_synthetic,fixed_bank_component
addsub_32x2,32x2,fixed,two_ghz,0.500000,0.499780,2.000880387,312.931203,658.747570,1.056600,0.129509,0.528068,true,uniform_synthetic,fixed_bank_component
addsub_64,64,fixed,one_ghz,1.000000,0.999519,1.000481231,173.959202,404.234222,0.470908,0.064079,0.470682,true,uniform_synthetic,fixed_bank_component
addsub_64,64,fixed,two_ghz,0.500000,0.499992,2.000032001,207.214800,446.799132,0.523717,0.083095,0.261854,true,uniform_synthetic,fixed_bank_component
barrel_16x4,16x4,fixed,one_ghz,1.000000,0.999923,1.000077006,202.597197,615.075861,0.803952,0.074860,0.803890,true,uniform_synthetic,fixed_bank_component
barrel_16x4,16x4,fixed,two_ghz,0.500000,0.499685,2.001260794,279.320398,708.421216,0.849234,0.141612,0.424349,true,uniform_synthetic,fixed_bank_component
barrel_32x2,32x2,fixed,one_ghz,1.000000,0.999803,1.000197039,266.799596,843.284083,0.969729,0.092030,0.969537,true,uniform_synthetic,fixed_bank_component
barrel_32x2,32x2,fixed,two_ghz,0.500000,0.499902,2.000392077,349.605595,901.272326,0.962067,0.157919,0.480939,true,uniform_synthetic,fixed_bank_component
barrel_64,64,fixed,one_ghz,1.000000,0.999814,1.000186035,315.239997,1056.247531,1.222300,0.119859,1.222073,true,uniform_synthetic,fixed_bank_component
barrel_64,64,fixed,two_ghz,0.500000,0.499981,2.000076003,643.977600,1295.628133,1.511600,0.341512,0.755771,true,uniform_synthetic,fixed_bank_component
cmp_16x4,16x4,fixed,one_ghz,1.000000,0.994993,1.005032196,97.902000,259.100837,0.259626,0.026717,0.258326,true,uniform_synthetic,fixed_bank_component
cmp_16x4,16x4,fixed,two_ghz,0.500000,0.499773,2.000908412,119.436000,285.682330,0.293096,0.046123,0.146481,true,uniform_synthetic,fixed_bank_component
cmp_32x2,32x2,fixed,one_ghz,1.000000,0.999888,1.000112013,119.524800,261.820143,0.233334,0.042034,0.233308,true,uniform_synthetic,fixed_bank_component
cmp_32x2,32x2,fixed,two_ghz,0.500000,0.499570,2.001721480,102.475200,232.376097,0.246280,0.040047,0.123034,true,uniform_synthetic,fixed_bank_component
cmp_64,64,fixed,one_ghz,1.000000,0.999518,1.000482232,92.929200,228.256040,0.213280,0.027846,0.213177,true,uniform_synthetic,fixed_bank_component
cmp_64,64,fixed,two_ghz,0.500000,0.499970,2.000120007,121.744800,268.792457,0.246457,0.049364,0.123221,true,uniform_synthetic,fixed_bank_component
