FU,family,tier,capability,corner,target_period_ns,achieved_delay_ns,fmax_ghz,cell_area_um2,total_area_um2,dynamic_power_mw,leakage_power_uw,energy_per_operation_pj,timing_met,activity_source
fp_cmp_rev64,fp_cmp,rev64,FP64,one_ghz,1.0,0.998945,1.0010561142,178.709999,513.374499,0.6412424,0.07431919999999999,0.640565889268308,True,uniform_synthetic
fp_cmp_rev64,fp_cmp,rev64,FP64,two_ghz,0.5,0.499737,2.00105255364,243.6228,529.097668,0.4886461,0.11474319999999999,0.2441945360760925,True,uniform_synthetic
fp_cmp_rev64_32,fp_cmp,rev64_32,FP64/FP32x2,one_ghz,1.0,0.999827,1.00017302993,214.451999,534.550232,0.5627037,0.0910137,0.5626063522622505,True,uniform_synthetic
fp_cmp_rev64_32,fp_cmp,rev64_32,FP64/FP32x2,two_ghz,0.5,0.499837,2.00065221262,338.905199,660.822176,0.622736,0.18654409999999996,0.3112664940322045,True,uniform_synthetic
fp_cmp_rev64_32_16,fp_cmp,rev64_32_16,FP64/FP32x2/FP16x4,one_ghz,1.0,0.999378,1.00062238712,279.364799,678.066263,0.7465897,0.12600209999999998,0.7461253212101729,True,uniform_synthetic
fp_cmp_rev64_32_16,fp_cmp,rev64_32_16,FP64/FP32x2/FP16x4,two_ghz,0.5,0.499914,2.00034405918,459.406798,820.631911,0.8137771,0.2613452,0.4068185651690296,True,uniform_synthetic
fp_minmax_rev64,fp_minmax,rev64,FP64,one_ghz,1.0,0.999148,1.00085272652,213.386397,578.652554,0.6842648,0.09062690000000001,0.6836818063924477,True,uniform_synthetic
fp_minmax_rev64,fp_minmax,rev64,FP64,two_ghz,0.5,0.499065,2.0037470069,262.3152,590.100361,0.5873271,0.11760259999999999,0.2931143991619255,True,uniform_synthetic
fp_minmax_rev64_32,fp_minmax,rev64_32,FP64/FP32x2,one_ghz,1.0,0.999039,1.00096192441,268.220399,593.760344,0.7249982,0.12154149999999998,0.724301476729335,True,uniform_synthetic
fp_minmax_rev64_32,fp_minmax,rev64_32,FP64/FP32x2,two_ghz,0.5,0.499884,2.00046410767,330.9576,654.741233,0.6572164,0.17568440000000002,0.32853196289808945,True,uniform_synthetic
fp_minmax_rev64_32_16,fp_minmax,rev64_32_16,FP64/FP32x2/FP16x4,one_ghz,1.0,0.999341,1.00065943457,306.0048,675.909889,0.7876427,0.1324421,0.787123643458639,True,uniform_synthetic
fp_minmax_rev64_32_16,fp_minmax,rev64_32_16,FP64/FP32x2/FP16x4,two_ghz,0.5,0.499798,2.00080832656,434.986798,796.081681,0.8950821999999999,0.2525909,0.4473602933964791,True,uniform_synthetic
