FU,family,tier,capability,corner,fixed_bank_definition,fixed_area_um2,revised_area_um2,area_saving_percent,fixed_power_mw,revised_power_mw,power_saving_percent,fixed_leakage_uw,revised_leakage_uw,leakage_saving_percent,fixed_energy_pj,revised_energy_pj,energy_saving_percent,fixed_fmax_ghz,revised_fmax_ghz,frequency_change_percent,comparison_valid,notes
fp_cmp_rev64,fp_cmp,rev64,FP64,one_ghz,fp_cmp_64 (packed components counted once),111.133199,178.709999,-60.807032109279966,0.23042490000000002,0.6412424,-178.28693860776326,0.038426699999999994,0.07431919999999999,-93.4051063453276,0.23023203435774936,0.640565889268308,-178.22622123598816,1.00083770116,1.0010561142,0.021823022828465058,True,common-frequency comparison; uniform synthetic activity; negative savings are penalties
fp_cmp_rev64,fp_cmp,rev64,FP64,two_ghz,fp_cmp_64 (packed components counted once),153.402,243.6228,-58.81331403762665,0.3135756,0.4886461,-55.8303962425648,0.05642629999999999,0.11474319999999999,-103.35056525060125,0.15676867188852792,0.2441945360760925,-55.767433081100364,2.00024402977,2.00105255364,0.0404212615044243,True,common-frequency comparison; uniform synthetic activity; negative savings are penalties
fp_cmp_rev64_32,fp_cmp,rev64_32,FP64/FP32x2,one_ghz,fp_cmp_64 + fp_cmp_32x2 (packed components counted once),233.18879800000002,214.451999,8.035033912735386,0.4830092,0.5627037,-16.499582202575024,0.0760479,0.0910137,-19.679438879969076,0.4826049212976073,0.5626063522622505,-16.57700272710416,1.00083770116,1.00017302993,-0.06641149001777724,True,common-frequency comparison; uniform synthetic activity; negative savings are penalties
fp_cmp_rev64_32,fp_cmp,rev64_32,FP64/FP32x2,two_ghz,fp_cmp_64 + fp_cmp_32x2 (packed components counted once),309.9564,338.905199,-9.339635832652595,0.5937318,0.622736,-4.885067634915281,0.11510589999999998,0.18654409999999996,-62.06302196499049,0.2968296823604422,0.3112664940322045,-4.863668470403034,2.00024402977,2.00065221262,0.02040665258462025,True,common-frequency comparison; uniform synthetic activity; negative savings are penalties
fp_cmp_rev64_32_16,fp_cmp,rev64_32_16,FP64/FP32x2/FP16x4,one_ghz,fp_cmp_64 + fp_cmp_32x2 + fp_cmp_16x4 (packed components counted once),342.501598,279.364799,18.434015890343375,0.7310912,0.7465897,-2.119913356910871,0.10991870000000001,0.12600209999999998,-14.632087169880984,0.7307307720375837,0.7461253212101729,-2.1067333909673387,1.00049324317,1.00062238712,0.012908028203247162,True,common-frequency comparison; uniform synthetic activity; negative savings are penalties
fp_cmp_rev64_32_16,fp_cmp,rev64_32_16,FP64/FP32x2/FP16x4,two_ghz,fp_cmp_64 + fp_cmp_32x2 + fp_cmp_16x4 (packed components counted once),449.150399,459.406798,-2.2835110517178876,0.8779771000000001,0.8137771,7.312263611431327,0.16992819999999997,0.2613452,-53.79742738403634,0.438944651145439,0.4068185651690296,7.318937796046826,2.00020002,2.00034405918,0.007201238804121058,True,common-frequency comparison; uniform synthetic activity; negative savings are penalties
fp_minmax_rev64,fp_minmax,rev64,FP64,one_ghz,fp_minmax_64 (packed components counted once),133.643998,213.386397,-59.667774231058225,0.3544593,0.6842648,-93.04467395833599,0.0501145,0.09062690000000001,-80.83967713935091,0.3543292134363506,0.6836818063924477,-92.95101291874143,1.00036713474,1.00085272652,0.04854135678159483,True,common-frequency comparison; uniform synthetic activity; negative savings are penalties
fp_minmax_rev64,fp_minmax,rev64,FP64,two_ghz,fp_minmax_64 (packed components counted once),159.928798,262.3152,-64.01999094622096,0.366123,0.5873271,-60.41797428732967,0.0688444,0.11760259999999999,-70.82377070611406,0.18303916649714932,0.2931143991619255,-60.13752945410757,2.00024402977,2.0037470069,0.17512748833963468,True,common-frequency comparison; uniform synthetic activity; negative savings are penalties
fp_minmax_rev64_32,fp_minmax,rev64_32,FP64/FP32x2,one_ghz,fp_minmax_64 + fp_minmax_32x2 (packed components counted once),261.515997,268.220399,-2.563668026778476,0.680986,0.7249982,-6.46301098701002,0.09464449999999999,0.12154149999999998,-28.41897838754496,0.6808123485710792,0.724301476729335,-6.387828929591656,1.00025506504,1.00096192441,0.0706679120861916,True,common-frequency comparison; uniform synthetic activity; negative savings are penalties
fp_minmax_rev64_32,fp_minmax,rev64_32,FP64/FP32x2,two_ghz,fp_minmax_64 + fp_minmax_32x2 (packed components counted once),336.685197,330.9576,1.7011728020819408,0.7371954000000001,0.6572164,10.849091027968978,0.1462736,0.17568440000000002,-20.106704148937343,0.36855273108090075,0.32853196289808945,10.858898824447017,2.00024402977,2.00046410767,0.011002552524813634,True,common-frequency comparison; uniform synthetic activity; negative savings are penalties
fp_minmax_rev64_32_16,fp_minmax,rev64_32_16,FP64/FP32x2/FP16x4,one_ghz,fp_minmax_64 + fp_minmax_32x2 + fp_minmax_16x4 (packed components counted once),368.253596,306.0048,16.9037849667054,0.9726642,0.7876427,19.022135285744035,0.12509299999999998,0.1324421,-5.874909067653687,0.9724161706305415,0.787123643458639,19.05485868789632,1.00025506504,1.00065943457,0.04042664157704947,True,common-frequency comparison; uniform synthetic activity; negative savings are penalties
fp_minmax_rev64_32_16,fp_minmax,rev64_32_16,FP64/FP32x2/FP16x4,two_ghz,fp_minmax_64 + fp_minmax_32x2 + fp_minmax_16x4 (packed components counted once),472.68239600000004,434.986798,7.97482587018113,1.063931,0.8950821999999999,15.870277301817508,0.2054802,0.2525909,-22.927123878602416,0.531900600209434,0.4473602933964791,15.894004778273882,2.00024402977,2.00080832656,0.028211397289599944,True,common-frequency comparison; uniform synthetic activity; negative savings are penalties
