FU,capability,corner,fixed_area_um2,decomposable_area_um2,area_saving_percent,fixed_power_mw,decomposable_power_mw,power_saving_percent,fixed_leakage_uw,decomposable_leakage_uw,leakage_saving_percent,fixed_energy_pj,decomposable_energy_pj,energy_saving_percent,fixed_fmax_ghz,decomposable_fmax_ghz,frequency_change_percent,comparison_valid,notes
abs_a3,64/32x2/16x4,one_ghz,329.714401,155.133602,52.949097,0.602729,0.268606,55.435030,0.121719,0.065369,46.295155,0.602499,0.268605,55.418210,1.000381145,1.000004000,-0.037700,true,normalized fixed bank; packed FU32/FU16 counted once; common operating-point target
abs_a3,64/32x2/16x4,two_ghz,396.403202,201.442801,49.182348,0.497540,0.301127,39.476826,0.164951,0.105446,36.074349,0.248717,0.150536,39.474928,2.000428092,2.000364066,-0.003201,true,normalized fixed bank; packed FU32/FU16 counted once; common operating-point target
addsub_d4,64/32x2/16x4,one_ghz,548.162401,188.078401,65.689292,1.708260,0.559158,67.267395,0.187381,0.073745,60.644356,1.707715,0.558871,67.273756,1.000319102,1.000513263,0.019410,true,normalized fixed bank; packed FU32/FU16 counted once; common operating-point target
addsub_d4,64/32x2/16x4,two_ghz,688.377605,281.984400,59.036378,2.011140,0.645942,67.881798,0.278340,0.151689,45.502263,1.005554,0.322958,67.882577,2.000032001,2.000080003,0.002400,true,normalized fixed bank; packed FU32/FU16 counted once; common operating-point target
barrel_bs3,64/32x2/16x4,one_ghz,784.636790,404.350797,48.466500,2.995981,1.436800,52.042419,0.286749,0.162481,43.336856,2.995750,1.436606,52.045202,1.000077006,1.000135018,0.005801,true,normalized fixed bank; packed FU32/FU16 counted once; common operating-point target
barrel_bs3,64/32x2/16x4,two_ghz,1272.903593,762.259194,40.116502,3.322901,1.710900,48.511858,0.641043,0.417944,34.802502,1.661387,0.855424,48.511466,2.000076003,2.000060002,-0.000800,true,normalized fixed bank; packed FU32/FU16 counted once; common operating-point target
cmp_c4,64/32x2/16x4,one_ghz,310.356000,144.122399,53.562232,0.706240,0.305136,56.794291,0.096597,0.055501,42.543764,0.706161,0.304879,56.825845,1.000112013,1.000842710,0.073062,true,normalized fixed bank; packed FU32/FU16 counted once; common operating-point target
cmp_c4,64/32x2/16x4,two_ghz,343.656000,222.133198,35.361758,0.785833,0.356930,54.579408,0.135534,0.106841,21.170334,0.392893,0.178361,54.603153,2.000120007,2.001164678,0.052230,true,normalized fixed bank; packed FU32/FU16 counted once; common operating-point target
fp_cmp_g3,FP64/FP32x2/FP16x4,one_ghz,342.501598,257.741999,24.747213,0.731091,0.726758,0.592676,0.109919,0.112752,-2.577352,0.730731,0.726347,0.599889,1.000493243,1.000565319,0.007204,true,normalized fixed bank; packed FU32/FU16 counted once; common operating-point target
fp_cmp_g3,FP64/FP32x2/FP16x4,two_ghz,449.150399,410.078399,8.699091,0.877977,0.758126,13.650813,0.169928,0.227659,-33.973801,0.438945,0.379050,13.645139,2.000200020,2.000072003,-0.006400,true,normalized fixed bank; packed FU32/FU16 counted once; common operating-point target
fp_minmax_m3,FP64/FP32x2/FP16x4,one_ghz,368.253596,304.450800,17.325777,0.972664,0.755852,22.290534,0.125092,0.130502,-4.324817,0.972416,0.755808,22.275238,1.000255065,1.000058003,-0.019701,true,normalized fixed bank; packed FU32/FU16 counted once; common operating-point target
fp_minmax_m3,FP64/FP32x2/FP16x4,two_ghz,472.682396,461.404798,2.385872,1.063931,0.960188,9.750914,0.205480,0.264507,-28.726397,0.531901,0.480012,9.755319,2.000244030,2.000344059,0.005001,true,normalized fixed bank; packed FU32/FU16 counted once; common operating-point target
minmax_m4,64/32x2/16x4,one_ghz,337.528797,120.190798,64.390950,0.961559,0.431539,55.120903,0.135828,0.046315,65.901729,0.960900,0.431363,55.108455,1.000685470,1.000409167,-0.027611,true,normalized fixed bank; packed FU32/FU16 counted once; common operating-point target
minmax_m4,64/32x2/16x4,two_ghz,341.169601,141.902400,58.407080,0.840757,0.334106,60.261288,0.127865,0.059265,53.650334,0.420146,0.166982,60.256160,2.001108614,2.000852363,-0.012805,true,normalized fixed bank; packed FU32/FU16 counted once; common operating-point target
mult_decomp,64/32x2/16x4,one_ghz,4028.545120,4982.701168,-23.684879,15.361500,21.118900,-37.479413,1.758330,3.098700,-76.229718,15.361454,21.116176,-37.462093,1.000003000,1.000129017,0.012602,true,normalized fixed bank; packed FU32/FU16 counted once; common operating-point target
mult_decomp,64/32x2/16x4,two_ghz,,5368.359560,,,21.835100,,,3.482700,,,21.211380,,,1.029404952,,false,normalized fixed-bank components pending; decomposable design misses target
rounding_g3,FP64/FP32x2/FP16x4,one_ghz,1339.592400,1256.786395,6.181433,1.501701,1.324400,11.806678,0.605021,0.650348,-7.491806,1.501635,1.324181,11.817381,1.000044002,1.000165027,0.012102,true,normalized fixed bank; packed FU32/FU16 counted once; common operating-point target
rounding_g3,FP64/FP32x2/FP16x4,two_ghz,,2156.685591,,,1.645500,,,1.454600,,,0.906055,,,1.816114749,,false,normalized fixed-bank components pending; decomposable design misses target
abs_a3,64/32x2/16x4,feasible,360.128404,196.958401,45.308840,0.489797,0.289833,40.825893,0.137287,0.100665,26.675505,0.306111,0.181118,40.832645,1.600061442,1.600243237,0.011362,true,normalized fixed bank; packed FU32/FU16 counted once; family feasible-frequency target
addsub_d4,64/32x2/16x4,feasible,593.095204,228.216001,61.521186,1.763325,0.590859,66.491770,0.226635,0.105284,53.544686,1.102018,0.368988,66.517068,1.600087045,1.601296410,0.075581,true,normalized fixed bank; packed FU32/FU16 counted once; family feasible-frequency target
barrel_bs3,64/32x2/16x4,feasible,1065.955189,552.824397,48.138120,3.131044,1.581500,49.489691,0.485528,0.273223,43.726623,1.956856,0.988363,49.492286,1.600038401,1.600120329,0.005120,true,normalized fixed bank; packed FU32/FU16 counted once; family feasible-frequency target
cmp_c4,64/32x2/16x4,feasible,312.975599,190.875598,39.012626,0.747820,0.328567,56.063357,0.118126,0.083677,29.162928,0.467378,0.205286,56.077073,1.600033281,1.600532657,0.031210,true,normalized fixed bank; packed FU32/FU16 counted once; family feasible-frequency target
fp_cmp_g3,FP64/FP32x2/FP16x4,feasible,407.813998,354.533999,13.064779,0.813761,0.719405,11.595051,0.158371,0.176111,-11.201546,0.508566,0.449596,11.595426,1.600107527,1.600112648,0.000320,true,normalized fixed bank; packed FU32/FU16 counted once; family feasible-frequency target
fp_minmax_m3,FP64/FP32x2/FP16x4,feasible,425.396395,397.735198,6.502452,1.036374,0.874528,15.616563,0.158915,0.207804,-30.764245,0.647680,0.546466,15.627143,1.600133131,1.600332869,0.012483,true,normalized fixed bank; packed FU32/FU16 counted once; family feasible-frequency target
minmax_m4,64/32x2/16x4,feasible,368.786399,126.451200,65.711534,0.949941,0.310101,67.355762,0.157026,0.044364,71.747354,0.593591,0.193723,67.364206,1.600330308,1.600740182,0.025612,true,normalized fixed bank; packed FU32/FU16 counted once; family feasible-frequency target
mult_decomp,64/32x2/16x4,feasible,3888.862708,4071.790764,-4.703896,14.181100,18.515500,-30.564625,1.698589,2.201500,-29.607574,17.215714,22.475780,-30.553868,0.823730014,0.823797873,0.008238,true,normalized fixed bank; packed FU32/FU16 counted once; family feasible-frequency target
rounding_g3,FP64/FP32x2/FP16x4,feasible,1746.784795,1512.619196,13.405521,1.798313,1.442400,19.791493,0.913756,0.873905,4.361230,1.344845,1.078896,19.775439,1.337189789,1.336921631,-0.020054,true,normalized fixed bank; packed FU32/FU16 counted once; family feasible-frequency target
